,SignatureLSTM-2-2,SignatureGRU-2-2,SignatureLSTM-3-2,SignatureGRU-3-2,SignatureLSTM-3-3,SignatureGRU-3-3,SignatureLSTM-2_10-2,SignatureGRU-2_10-2,SignatureLSTM-3-3-3,SignatureGRU-3-3-3,SignatureLSTM-4-4,SignatureGRU-4-4,SignatureLSTM-3-3-flatten,SignatureGRU-3-3-flatten,GRU,LSTM,GRU-3,LSTM-3,GRU-flatten,LSTM-flatten
1,0.017137091066150547,0.0070429258019593126,0.005854948596449599,0.003244908160064553,0.013586279863072879,0.00192380828365954,0.013236153569261494,0.0036509657141017933,0.0036299027727551047,0.004506191729706689,0.01007042552816835,0.004756128201270185,0.0027649179056251,0.005554866041733884,0.0017719885342436272,0.006063186719271556,0.007904307530094476,0.02121154832714566,0.0026145580875985403,0.007130521586995589
9,0.20164979149006534,0.009848090115650474,0.05213629884635084,0.0076740878223750695,0.08275355871817625,0.007756826797189128,0.1205465757643539,0.011442412232057969,0.19571214703147777,0.008024702338766468,0.09439410468081491,0.004078257119969553,0.03682350244778078,0.008835302035292612,0.0223772941199556,0.12875832742299426,0.05358783708299449,0.12281062478060882,0.010675152444495597,0.22658018883687503
15,0.09403883596971296,0.004549351821995352,0.11670737822458661,0.007956800253989966,0.14634114260567063,0.006219814067796111,0.08667686162868876,0.003731179995768761,0.07247694808012164,0.006530869020015643,0.07262446388673335,0.007596096230887694,0.046917964530058504,0.012334579576167307,0.041138804385854204,0.13689894142486678,0.06343436390871243,0.046717330396890924,0.004122522817487391,0.48261345631445934
