,SignatureLSTM-2-2,SignatureGRU-2-2,SignatureLSTM-3-2,SignatureGRU-3-2,SignatureLSTM-3-3,SignatureGRU-3-3,SignatureLSTM-2_10-2,SignatureGRU-2_10-2,SignatureLSTM-3-3-3,SignatureGRU-3-3-3,SignatureLSTM-4-4,SignatureGRU-4-4,SignatureLSTM-3-3-flatten,SignatureGRU-3-3-flatten,GRU,LSTM,GRU-3,LSTM-3,GRU-flatten,LSTM-flatten
1,3.12663311685371,2.3261695685988024,4.308338582454336,3.6920538328312573,4.252355002045557,1.5487038613245985,4.234454525700683,2.878468167548602,3.2949715765158296,3.5217174749622213,3.624107385360337,2.072887444451231,2.3121453988709346,3.6826877341282973,2.4039161651959366,0.9043453328304929,5.240006493618235,2.1291341062839564,1.0911676580617267,2.6094698120054773
9,6.658195351087422,1.693062540058972,3.300962433967014,2.515764045252222,4.954757170548111,2.992509995953628,3.796204724843956,1.659721572937129,2.740668041031296,3.675876150473148,3.798537229969063,3.098326209997163,5.263703722407744,2.236229443783586,2.1423873964173983,1.2489402828761964,3.025917741351522,1.6753787622434138,0.9547274429851776,2.0134359120404772
15,1.4105020391549485,1.355652303550097,5.208323197484443,2.913190560325557,2.1997547969286515,3.0938373510076973,4.94938384473809,3.0764292475682438,6.9668443164557505,6.161856467440498,5.2912030554945435,3.574824075358284,3.180684443621439,3.5522620260653843,3.6937752095007923,1.8069285254721452,6.677513681117081,0.7271489448089496,2.726081802671317,3.1975105271297948
