,SignatureLSTM-2-2,SignatureGRU-2-2,SignatureLSTM-3-2,SignatureGRU-3-2,SignatureLSTM-3-3,SignatureGRU-3-3,SignatureLSTM-2_10-2,SignatureGRU-2_10-2,SignatureLSTM-3-3-3,SignatureGRU-3-3-3,SignatureLSTM-4-4,SignatureGRU-4-4,SignatureLSTM-3-3-flatten,SignatureGRU-3-3-flatten,GRU,LSTM,GRU-3,LSTM-3,GRU-flatten,LSTM-flatten
1,82.65697946548462,41.744139432907104,85.6265112400055,47.768060255050656,86.77196521759033,43.893234968185425,89.37187032699585,46.29119238853455,122.44350962638855,66.96304750442505,97.22916717529297,51.15238165855408,128.53714828491212,48.96709518432617,19.077594184875487,14.706821489334107,28.582611751556396,22.822791862487794,18.77782311439514,18.310476541519165
9,82.51456241607666,47.77154693603516,86.71044402122497,51.977175664901736,87.78100275993347,46.83048906326294,87.38811478614807,47.304620361328126,126.40223064422608,62.162629795074466,93.56609330177307,53.94948406219483,87.4233950138092,45.54980158805847,19.192820596694947,18.45897159576416,26.554419708251952,24.007343149185182,20.804364728927613,17.698956108093263
15,154.05537691116334,50.30931396484375,159.63240466117858,58.41800589561463,160.48668360710144,52.99908618927002,155.90394558906556,52.020233917236325,215.35777406692506,78.30266427993774,174.18353118896485,65.13928699493408,162.8944179534912,59.60269117355347,25.040493392944335,21.945756959915162,41.77505097389221,30.48937268257141,28.865783166885375,25.375856351852416
