,SignatureLSTM-2-2,SignatureGRU-2-2,SignatureLSTM-3-2,SignatureGRU-3-2,SignatureLSTM-3-3,SignatureGRU-3-3,SignatureLSTM-2_10-2,SignatureGRU-2_10-2,SignatureLSTM-3-3-3,SignatureGRU-3-3-3,SignatureLSTM-4-4,SignatureGRU-4-4,SignatureLSTM-3-3-flatten,SignatureGRU-3-3-flatten,GRU,LSTM,GRU-3,LSTM-3,GRU-flatten,LSTM-flatten
1,0.05517484821566261,0.0548909383800118,0.054821309484662704,0.05473429536567449,0.05488315392266006,0.05463545170480135,0.055326382027861845,0.05468052281873207,0.05475483365414582,0.055136765369448185,0.05506521016646376,0.05467243877207774,0.05469472871275274,0.05517202000465904,0.054992992503228345,0.05556229425079355,0.05559361667378963,0.056216739683323046,0.055420181065090376,0.055500165075710914
9,0.07492598091172811,0.06639156492086608,0.07203776622368652,0.06646529610218276,0.075168597147314,0.0663034578717062,0.07559643734277822,0.06630783750474567,0.07964718925461027,0.06639947106337318,0.07476821717773877,0.06635779664134099,0.06790162010714774,0.06658126896724993,0.06723727022440015,0.07367235743479837,0.06843872564722438,0.0728097834781273,0.06747743749917573,0.07814140430456293
15,0.07464112713630514,0.06762463852849536,0.07228161345949538,0.06803635000809821,0.07589024319501456,0.06755161815512609,0.07525003577057476,0.0677886183094128,0.07537828376432607,0.06817912559329765,0.07367008397117081,0.06782252400691531,0.071131935931845,0.06864823133532057,0.0680929599605063,0.07673845695616735,0.07007791520500066,0.07664030455053805,0.06829719064501169,0.08188676457115661
