,SignatureLSTM-2-2,SignatureGRU-2-2,SignatureLSTM-3-2,SignatureGRU-3-2,SignatureLSTM-3-3,SignatureGRU-3-3,SignatureLSTM-2_10-2,SignatureGRU-2_10-2,SignatureLSTM-3-3-3,SignatureGRU-3-3-3,SignatureLSTM-4-4,SignatureGRU-4-4,SignatureLSTM-3-3-flatten,SignatureGRU-3-3-flatten,GRU,LSTM,GRU-3,LSTM-3,GRU-flatten,LSTM-flatten
1,0.0007792239088778419,0.00032228425055387007,0.0002673570056458702,0.0001485716779077126,0.000617893721803428,8.828705248674045e-05,0.000598244907102053,0.00016763345565653118,0.00016624554698935356,0.00020542850360508866,0.0004582922971129479,0.00021807301914780189,0.00012687662657552125,0.00025298404264417095,8.080343717349565e-05,0.0002736602471331029,0.00035616814578986187,0.0009362337346517282,0.00011826516949193274,0.0003224836280556097
9,0.006356309373309086,0.0003670147159391772,0.0017943586913567006,0.000288681641233793,0.0026737099456986776,0.00028101284099336476,0.0038336251098565195,0.0004204158050797252,0.005816633871272954,0.00029681877793454595,0.0030777963219157725,0.0001475479069084833,0.0013307421217250153,0.0003241537218606348,0.0008165643771993728,0.004228321753082727,0.0018831265996184137,0.004106928512676874,0.00038684713101048475,0.006686740349428992
15,0.0030968359747127264,0.00016531495038022144,0.0038540044712571933,0.0002890960884665788,0.0047573363271571035,0.0002418858350773406,0.0028402632979893966,0.0001397562357643208,0.0023799359552841796,0.00023555807327796702,0.0024618082830721246,0.00027886056046297033,0.0016603260235255543,0.0004420612294298796,0.001482789515886091,0.004287406243149018,0.0022456768316265266,0.0015413318742311466,0.00014968569097305865,0.01331971954413953
